餐廳名稱,消費時間,餐廳區域,餐廳地址,營業時間,電話,平均價位,推薦菜色
老二迷你土雞鍋,2018年/12月,高雄, 高雄市新興區中正三路74號   電話：07 2368136,17:00-23:00,,每人平均價位：120,
錵鍋-錵鑶,2018年/2月,高雄,高雄市新興區林森一路八號,下午17:30~凌晨02:00,07-2158001,,
眼鏡伯大腸包小腸,,高雄,高雄市湖內區中正路一段17號,13:30~售完為止,,每人平均價位：60,
幸福の鍋,2018年/03月,高雄,高雄市楠梓區興楠路326號,"11:00-14:00 , 17:00-22:00",0989 160 870,,
紅陶上海湯包,2018年/02月,高雄,高雄市前金區成功一路266號10樓,"11:30~14:30 , 17:30~21:30",07 213 5751,,
嶢嶢茶居 yáoyáo,2017/11,高雄,高雄市苓雅區和平一路30號,10:00-22:00,07-7130337,,
喜八咖啡店,2018年/2月,高雄,高雄市新興區南台路43巷21號,平日 10：30 ~ 17：30 (週二休),07 2812875,,
季樂 涮涮鍋,2017年09月,高雄,店家地址：高雄市左營區安吉街468號,日式鍋物 11：00～23：00,店家電話：07 556 1101,,
八田源,2018年02月,高雄,店家地址：高雄市鼓山區青海路189號,12：00～14：30 / 17：30～22：00（週三公休）,店家電話：07 586 8206,,
古川壽喜燒,2017年/10月,高雄,高雄市苓雅區建華街238號,"11:30-15:00, 17:00-22:00",07 7277676,,
moin coffee stand,2017年/10月,高雄,高雄市前鎮區瑞文街32號,,無,,
花拾間咖啡廚房,2018年/02月,高雄,高雄市新興區七賢一路297號,11:00-21:00,07 235 0818,,
松悅創意鐵板燒,2018年/01月,高雄,高雄市左營區富民路213號,"11:30–14:30 , 17:30–21:30",075506650,,
Hotel Indigo—Wok on the Park  高雄中央公園英迪格酒店 2F全日餐廳,2017年/11月,高雄,高雄市新興區中山一路4號,午餐時段 11:30~14:30，晚餐時段 17:30~21:30,07-272-1888,,
Papaya泰.泰式料理餐廳,2018年/01月,高雄,高雄市前鎮區中華五路1111號1樓,11:00-22:00,07-536-2652,,
初肉,2018年2月25日,高雄,高雄市楠梓區土庫三路221號,星期一、二、四~日 11:20~20:00 (星期三公休),(07) 351-6888,,
小二月飯湯,2017年/12月,高雄,高雄市前金區中華三路123號,11:30~14:00。17:00~21:00,07-2318658,,
大叔韓式料理,2017年/11月,高雄,高雄市前鎮區光華二路313號,11:00~14:30。17:00~22:00,07-3339123,,
中樺水產行,2016年/11月,高雄,高雄市三民區中華二路85號 (汽車行隔壁),10:00-18:00,07 321-7797 ， 0911-616-388,,
étage15 STEAK HOUSE MLD台鋁牛排館,2017年11月,高雄,店家地址：高雄市前鎮區忠勤路8號（MLD台鋁 晶綺盛宴旁）,17：00～24：00,店家電話：07 536 2999,,
Pizza Rock 搖滾披薩 高雄富民店,2018年2月13日,高雄,高雄市左營區富民路327號,每天 11:30~21:30,(07) 550-9558,,
妖怪米熱狗,2017年/12月,高雄, 高雄市鼓山區麗雄街65號,一-五 11:00-22:00 六-日 11:00-21:00,0936-614-282,,
